alacritty 0.15.1
bash-completion@2 2.16.0
bpytop 1.0.68
cloc 2.06
cmake 4.1.0
cocoapods 1.16.2_1
codex 0.21.0
create-dmg 1.2.2
dfu-util 0.11
emacs-app 30.1
fd 10.2.0
ffmpeg 7.1.1_3
fzf 0.65.1
gemini-cli 0.1.18
git-filter-repo 2.47.0
gradle 9.0.0
helm 3.18.4
hunspell 1.7.2
k9s 0.50.9
kitty 0.42.2
kubectx 0.9.5
loc 0.4.1
macfuse 4.10.2
mactex 2025.0308
minikube 1.36.0
mtr 0.96
ncdu 2.8.2
neovim 0.11.3
netcat 0.7.1
ninja 1.13.1
nmap 7.97
openlens 6.5.2-366
pipx 1.7.1_1
qrencode 4.1.1
quarkus 3.25.2
rbenv 1.3.2
stow 2.4.1
tailscale 1.86.2 1.84.2
telnet 306
tree 2.2.1
warp 0.2023.11.07.08.02.stable_00
yarn 1.22.22
zsh-autocomplete 25.03.19
